name,long,lat,population
Москва,37.617778,55.755833,7061
Ленинград,30.316667,59.950000,3950
Киев,30.516667,50.450000,1632
Ташкент,69.266667,41.300000,1385
Баку,49.835183,40.366656,1266
Харьков,36.166667,50.000000,1223
Горький,44.0075,56.326944,1170
Новосибирск,82.916667,55.016667,1161
Куйбышев,50.116667,53.183333,1045
Свердловск,60.583333,56.833333,1025
Минск,27.55,53.916667,917
Одесса,30.727778,46.486111,892
Тбилиси,44.800000,41.716667,889
Донецк,37.8,48.008889,879
Челябинск,61.403056,55.162222,875
Казань,49.114444,55.790833,869
Днепропетровск,35.018155,48.466601,862
Пермь,56.248889,58.013889,850
Омск,73.383333,54.966667,821
Волгоград,44.513889,48.711667,818
Ростов-на-Дону,39.710556,47.240556,789
Уфа,55.966667,54.733333,771
Ереван,44.516667,40.183333,767
Рига,24.106944,56.947500,732
Алма-Ата,76.9,43.25,730
Воронеж,39.210556,51.671667,660
Запорожье,35.138333,47.837778,658
Красноярск,92.871295,56.012083,648
